polygon_id,camp_address,street,time,block_type
polygon_Esplanade_2:00,Esplanade & 2:00,Esplanade,2:00,street
polygon_Esplanade_2:30,Esplanade & 2:30,Esplanade,2:30,street
polygon_Esplanade_3:00,Esplanade & 3:00,Esplanade,3:00,street
polygon_Esplanade_3:30,Esplanade & 3:30,Esplanade,3:30,street
polygon_Esplanade_4:00,Esplanade & 4:00,Esplanade,4:00,street
polygon_Esplanade_4:30,Esplanade & 4:30,Esplanade,4:30,street
polygon_Esplanade_5:00,Esplanade & 5:00,Esplanade,5:00,street
polygon_Esplanade_5:30,Esplanade & 5:30,Esplanade,5:30,street
polygon_Esplanade_6:00,Esplanade & 6:00,Esplanade,6:00,street
polygon_Esplanade_6:30,Esplanade & 6:30,Esplanade,6:30,street
polygon_Esplanade_7:00,Esplanade & 7:00,Esplanade,7:00,street
polygon_Esplanade_7:30,Esplanade & 7:30,Esplanade,7:30,street
polygon_Esplanade_8:00,Esplanade & 8:00,Esplanade,8:00,street
polygon_Esplanade_8:30,Esplanade & 8:30,Esplanade,8:30,street
polygon_Esplanade_9:00,Esplanade & 9:00,Esplanade,9:00,street
polygon_Esplanade_9:30,Esplanade & 9:30,Esplanade,9:30,street
polygon_A_2:00,A & 2:00,A,2:00,street
polygon_A_2:30,A & 2:30,A,2:30,street
polygon_A_3:00,A & 3:00,A,3:00,street
polygon_A_3:30,A & 3:30,A,3:30,street
polygon_A_4:00,A & 4:00,A,4:00,street
polygon_A_4:30,A & 4:30,A,4:30,street
polygon_A_5:00,A & 5:00,A,5:00,street
polygon_A_5:30,A & 5:30,A,5:30,street
polygon_A_6:00,A & 6:00,A,6:00,street
polygon_A_6:30,A & 6:30,A,6:30,street
polygon_A_7:00,A & 7:00,A,7:00,street
polygon_A_7:30,A & 7:30,A,7:30,street
polygon_A_8:00,A & 8:00,A,8:00,street
polygon_A_8:30,A & 8:30,A,8:30,street
polygon_A_9:00,A & 9:00,A,9:00,street
polygon_A_9:30,A & 9:30,A,9:30,street
polygon_B_2:00,B & 2:00,B,2:00,street
polygon_B_2:30,B & 2:30,B,2:30,street
polygon_B_3:00,B & 3:00,B,3:00,street
polygon_B_3:30,B & 3:30,B,3:30,street
polygon_B_4:00,B & 4:00,B,4:00,street
polygon_B_4:30,B & 4:30,B,4:30,street
polygon_B_5:00,B & 5:00,B,5:00,street
polygon_B_5:30,B & 5:30,B,5:30,street
polygon_B_6:00,B & 6:00,B,6:00,street
polygon_B_6:30,B & 6:30,B,6:30,street
polygon_B_7:00,B & 7:00,B,7:00,street
polygon_B_7:30,B & 7:30,B,7:30,street
polygon_B_8:00,B & 8:00,B,8:00,street
polygon_B_8:30,B & 8:30,B,8:30,street
polygon_B_9:00,B & 9:00,B,9:00,street
polygon_B_9:30,B & 9:30,B,9:30,street
polygon_C_2:00,C & 2:00,C,2:00,street
polygon_C_2:30,C & 2:30,C,2:30,street
polygon_C_3:00,C & 3:00,C,3:00,street
polygon_C_3:30,C & 3:30,C,3:30,street
polygon_C_4:00,C & 4:00,C,4:00,street
polygon_C_4:30,C & 4:30,C,4:30,street
polygon_C_5:00,C & 5:00,C,5:00,street
polygon_C_5:30,C & 5:30,C,5:30,street
polygon_C_6:00,C & 6:00,C,6:00,street
polygon_C_6:30,C & 6:30,C,6:30,street
polygon_C_7:00,C & 7:00,C,7:00,street
polygon_C_7:30,C & 7:30,C,7:30,street
polygon_C_8:00,C & 8:00,C,8:00,street
polygon_C_8:30,C & 8:30,C,8:30,street
polygon_C_9:00,C & 9:00,C,9:00,street
polygon_C_9:30,C & 9:30,C,9:30,street
polygon_D_2:00,D & 2:00,D,2:00,street
polygon_D_2:30,D & 2:30,D,2:30,street
polygon_D_3:00,D & 3:00,D,3:00,street
polygon_D_3:30,D & 3:30,D,3:30,street
polygon_D_4:00,D & 4:00,D,4:00,street
polygon_D_4:30,D & 4:30,D,4:30,street
polygon_D_5:00,D & 5:00,D,5:00,street
polygon_D_5:30,D & 5:30,D,5:30,street
polygon_D_6:00,D & 6:00,D,6:00,street
polygon_D_6:30,D & 6:30,D,6:30,street
polygon_D_7:00,D & 7:00,D,7:00,street
polygon_D_7:30,D & 7:30,D,7:30,street
polygon_D_8:00,D & 8:00,D,8:00,street
polygon_D_8:30,D & 8:30,D,8:30,street
polygon_D_9:00,D & 9:00,D,9:00,street
polygon_D_9:30,D & 9:30,D,9:30,street
polygon_E_2:00,E & 2:00,E,2:00,street
polygon_E_2:30,E & 2:30,E,2:30,street
polygon_E_3:00,E & 3:00,E,3:00,street
polygon_E_3:30,E & 3:30,E,3:30,street
polygon_E_4:00,E & 4:00,E,4:00,street
polygon_E_4:30,E & 4:30,E,4:30,street
polygon_E_5:00,E & 5:00,E,5:00,street
polygon_E_5:30,E & 5:30,E,5:30,street
polygon_E_6:00,E & 6:00,E,6:00,street
polygon_E_6:30,E & 6:30,E,6:30,street
polygon_E_7:00,E & 7:00,E,7:00,street
polygon_E_7:30,E & 7:30,E,7:30,street
polygon_E_8:00,E & 8:00,E,8:00,street
polygon_E_8:30,E & 8:30,E,8:30,street
polygon_E_9:00,E & 9:00,E,9:00,street
polygon_E_9:30,E & 9:30,E,9:30,street
polygon_F_2:00,F & 2:00,F,2:00,street
polygon_F_2:15,F & 2:15,F,2:15,street
polygon_F_2:30,F & 2:30,F,2:30,street
polygon_F_2:45,F & 2:45,F,2:45,street
polygon_F_3:00,F & 3:00,F,3:00,street
polygon_F_3:15,F & 3:15,F,3:15,street
polygon_F_3:30,F & 3:30,F,3:30,street
polygon_F_3:45,F & 3:45,F,3:45,street
polygon_F_4:00,F & 4:00,F,4:00,street
polygon_F_4:15,F & 4:15,F,4:15,street
polygon_F_4:30,F & 4:30,F,4:30,street
polygon_F_4:45,F & 4:45,F,4:45,street
polygon_F_5:00,F & 5:00,F,5:00,street
polygon_F_5:15,F & 5:15,F,5:15,street
polygon_F_5:30,F & 5:30,F,5:30,street
polygon_F_5:45,F & 5:45,F,5:45,street
polygon_F_6:00,F & 6:00,F,6:00,street
polygon_F_6:15,F & 6:15,F,6:15,street
polygon_F_6:30,F & 6:30,F,6:30,street
polygon_F_6:45,F & 6:45,F,6:45,street
polygon_F_7:00,F & 7:00,F,7:00,street
polygon_F_7:15,F & 7:15,F,7:15,street
polygon_F_7:30,F & 7:30,F,7:30,street
polygon_F_7:45,F & 7:45,F,7:45,street
polygon_F_8:00,F & 8:00,F,8:00,street
polygon_F_8:15,F & 8:15,F,8:15,street
polygon_F_8:30,F & 8:30,F,8:30,street
polygon_F_8:45,F & 8:45,F,8:45,street
polygon_F_9:00,F & 9:00,F,9:00,street
polygon_F_9:15,F & 9:15,F,9:15,street
polygon_F_9:30,F & 9:30,F,9:30,street
polygon_F_9:45,F & 9:45,F,9:45,street
polygon_G_2:00,G & 2:00,G,2:00,street
polygon_G_2:15,G & 2:15,G,2:15,street
polygon_G_2:30,G & 2:30,G,2:30,street
polygon_G_2:45,G & 2:45,G,2:45,street
polygon_G_3:00,G & 3:00,G,3:00,street
polygon_G_3:15,G & 3:15,G,3:15,street
polygon_G_3:30,G & 3:30,G,3:30,street
polygon_G_3:45,G & 3:45,G,3:45,street
polygon_G_4:00,G & 4:00,G,4:00,street
polygon_G_4:15,G & 4:15,G,4:15,street
polygon_G_4:30,G & 4:30,G,4:30,street
polygon_G_4:45,G & 4:45,G,4:45,street
polygon_G_5:00,G & 5:00,G,5:00,street
polygon_G_5:15,G & 5:15,G,5:15,street
polygon_G_5:30,G & 5:30,G,5:30,street
polygon_G_5:45,G & 5:45,G,5:45,street
polygon_G_6:00,G & 6:00,G,6:00,street
polygon_G_6:15,G & 6:15,G,6:15,street
polygon_G_6:30,G & 6:30,G,6:30,street
polygon_G_6:45,G & 6:45,G,6:45,street
polygon_G_7:00,G & 7:00,G,7:00,street
polygon_G_7:15,G & 7:15,G,7:15,street
polygon_G_7:30,G & 7:30,G,7:30,street
polygon_G_7:45,G & 7:45,G,7:45,street
polygon_G_8:00,G & 8:00,G,8:00,street
polygon_G_8:15,G & 8:15,G,8:15,street
polygon_G_8:30,G & 8:30,G,8:30,street
polygon_G_8:45,G & 8:45,G,8:45,street
polygon_G_9:00,G & 9:00,G,9:00,street
polygon_G_9:15,G & 9:15,G,9:15,street
polygon_G_9:30,G & 9:30,G,9:30,street
polygon_G_9:45,G & 9:45,G,9:45,street
polygon_H_2:00,H & 2:00,H,2:00,street
polygon_H_2:15,H & 2:15,H,2:15,street
polygon_H_2:30,H & 2:30,H,2:30,street
polygon_H_2:45,H & 2:45,H,2:45,street
polygon_H_3:00,H & 3:00,H,3:00,street
polygon_H_3:15,H & 3:15,H,3:15,street
polygon_H_3:30,H & 3:30,H,3:30,street
polygon_H_3:45,H & 3:45,H,3:45,street
polygon_H_4:00,H & 4:00,H,4:00,street
polygon_H_4:15,H & 4:15,H,4:15,street
polygon_H_4:30,H & 4:30,H,4:30,street
polygon_H_4:45,H & 4:45,H,4:45,street
polygon_H_5:00,H & 5:00,H,5:00,street
polygon_H_5:15,H & 5:15,H,5:15,street
polygon_H_5:30,H & 5:30,H,5:30,street
polygon_H_5:45,H & 5:45,H,5:45,street
polygon_H_6:00,H & 6:00,H,6:00,street
polygon_H_6:15,H & 6:15,H,6:15,street
polygon_H_6:30,H & 6:30,H,6:30,street
polygon_H_6:45,H & 6:45,H,6:45,street
polygon_H_7:00,H & 7:00,H,7:00,street
polygon_H_7:15,H & 7:15,H,7:15,street
polygon_H_7:30,H & 7:30,H,7:30,street
polygon_H_7:45,H & 7:45,H,7:45,street
polygon_H_8:00,H & 8:00,H,8:00,street
polygon_H_8:15,H & 8:15,H,8:15,street
polygon_H_8:30,H & 8:30,H,8:30,street
polygon_H_8:45,H & 8:45,H,8:45,street
polygon_H_9:00,H & 9:00,H,9:00,street
polygon_H_9:15,H & 9:15,H,9:15,street
polygon_H_9:30,H & 9:30,H,9:30,street
polygon_H_9:45,H & 9:45,H,9:45,street
polygon_I_2:00,I & 2:00,I,2:00,street
polygon_I_2:15,I & 2:15,I,2:15,street
polygon_I_2:30,I & 2:30,I,2:30,street
polygon_I_2:45,I & 2:45,I,2:45,street
polygon_I_3:00,I & 3:00,I,3:00,street
polygon_I_3:15,I & 3:15,I,3:15,street
polygon_I_3:30,I & 3:30,I,3:30,street
polygon_I_3:45,I & 3:45,I,3:45,street
polygon_I_4:00,I & 4:00,I,4:00,street
polygon_I_4:15,I & 4:15,I,4:15,street
polygon_I_4:30,I & 4:30,I,4:30,street
polygon_I_4:45,I & 4:45,I,4:45,street
polygon_I_5:00,I & 5:00,I,5:00,street
polygon_I_5:15,I & 5:15,I,5:15,street
polygon_I_5:30,I & 5:30,I,5:30,street
polygon_I_5:45,I & 5:45,I,5:45,street
polygon_I_6:00,I & 6:00,I,6:00,street
polygon_I_6:15,I & 6:15,I,6:15,street
polygon_I_6:30,I & 6:30,I,6:30,street
polygon_I_6:45,I & 6:45,I,6:45,street
polygon_I_7:00,I & 7:00,I,7:00,street
polygon_I_7:15,I & 7:15,I,7:15,street
polygon_I_7:30,I & 7:30,I,7:30,street
polygon_I_7:45,I & 7:45,I,7:45,street
polygon_I_8:00,I & 8:00,I,8:00,street
polygon_I_8:15,I & 8:15,I,8:15,street
polygon_I_8:30,I & 8:30,I,8:30,street
polygon_I_8:45,I & 8:45,I,8:45,street
polygon_I_9:00,I & 9:00,I,9:00,street
polygon_I_9:15,I & 9:15,I,9:15,street
polygon_I_9:30,I & 9:30,I,9:30,street
polygon_I_9:45,I & 9:45,I,9:45,street
polygon_J_2:00,J & 2:00,J,2:00,street
polygon_J_2:15,J & 2:15,J,2:15,street
polygon_J_2:30,J & 2:30,J,2:30,street
polygon_J_2:45,J & 2:45,J,2:45,street
polygon_J_3:00,J & 3:00,J,3:00,street
polygon_J_3:15,J & 3:15,J,3:15,street
polygon_J_3:30,J & 3:30,J,3:30,street
polygon_J_3:45,J & 3:45,J,3:45,street
polygon_J_4:00,J & 4:00,J,4:00,street
polygon_J_4:15,J & 4:15,J,4:15,street
polygon_J_4:30,J & 4:30,J,4:30,street
polygon_J_4:45,J & 4:45,J,4:45,street
polygon_J_5:00,J & 5:00,J,5:00,street
polygon_J_5:15,J & 5:15,J,5:15,street
polygon_J_5:30,J & 5:30,J,5:30,street
polygon_J_5:45,J & 5:45,J,5:45,street
polygon_J_6:00,J & 6:00,J,6:00,street
polygon_J_6:15,J & 6:15,J,6:15,street
polygon_J_6:30,J & 6:30,J,6:30,street
polygon_J_6:45,J & 6:45,J,6:45,street
polygon_J_7:00,J & 7:00,J,7:00,street
polygon_J_7:15,J & 7:15,J,7:15,street
polygon_J_7:30,J & 7:30,J,7:30,street
polygon_J_7:45,J & 7:45,J,7:45,street
polygon_J_8:00,J & 8:00,J,8:00,street
polygon_J_8:15,J & 8:15,J,8:15,street
polygon_J_8:30,J & 8:30,J,8:30,street
polygon_J_8:45,J & 8:45,J,8:45,street
polygon_J_9:00,J & 9:00,J,9:00,street
polygon_J_9:15,J & 9:15,J,9:15,street
polygon_J_9:30,J & 9:30,J,9:30,street
polygon_J_9:45,J & 9:45,J,9:45,street
plaza-quarter,3:00 Plaza,Plaza,3:00,plaza
plaza-quarter,9:00 Plaza,Plaza,9:00,plaza
plaza-quarter,6:00 Plaza,Plaza,6:00,plaza
plaza-quarter,12:00 Plaza,Plaza,12:00,plaza
plaza-quarter,3:00 Plaza Quarter A,Plaza,3:00,plaza
plaza-quarter,3:00 Plaza Quarter B,Plaza,3:00,plaza
plaza-quarter,3:00 Plaza Quarter C,Plaza,3:00,plaza
plaza-quarter,3:00 Plaza Quarter D,Plaza,3:00,plaza
plaza-quarter,9:00 Plaza Quarter A,Plaza,9:00,plaza
plaza-quarter,9:00 Plaza Quarter B,Plaza,9:00,plaza
plaza-quarter,9:00 Plaza Quarter C,Plaza,9:00,plaza
plaza-quarter,9:00 Plaza Quarter D,Plaza,9:00,plaza
plaza-quarter,6:00 Plaza Quarter A,Plaza,6:00,plaza
plaza-quarter,6:00 Plaza Quarter B,Plaza,6:00,plaza
plaza-quarter,6:00 Plaza Quarter C,Plaza,6:00,plaza
plaza-quarter,6:00 Plaza Quarter D,Plaza,6:00,plaza
plaza-quarter,12:00 Plaza Quarter A,Plaza,12:00,plaza
plaza-quarter,12:00 Plaza Quarter B,Plaza,12:00,plaza
plaza-quarter,12:00 Plaza Quarter C,Plaza,12:00,plaza
plaza-quarter,12:00 Plaza Quarter D,Plaza,12:00,plaza
center-camp,Center Camp Plaza,Plaza,center,plaza
center-camp,Center Camp Quarter A,Plaza,center,plaza
center-camp,Center Camp Quarter B,Plaza,center,plaza
center-camp,Center Camp Quarter C,Plaza,center,plaza
center-camp,Center Camp Quarter D,Plaza,center,plaza
landmark,Airport & 4:30,Airport,4:30,landmark
landmark,Esplanade & 5:15,Esplanade,5:15,landmark
landmark,Esplanade & 5:45,Esplanade,5:45,landmark 